,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,track_name,album_name,popularity
195,0.688,0.5,2,-7.411,1,0.138,0.102,0.0,0.355,0.418,127.906,audio_features,2pyjbGTpJCPjMYwCbdymiF,spotify:track:2pyjbGTpJCPjMYwCbdymiF,https://api.spotify.com/v1/tracks/2pyjbGTpJCPjMYwCbdymiF,https://api.spotify.com/v1/audio-analysis/2pyjbGTpJCPjMYwCbdymiF,189608,3,Ruel,Dazed & Confused,Dazed & Confused,73
196,0.854,0.671,7,-7.158,1,0.0543,0.019,0.383,0.105,0.631,107.994,audio_features,5DYD4zlGiFlkpLaf2Bk8Vl,spotify:track:5DYD4zlGiFlkpLaf2Bk8Vl,https://api.spotify.com/v1/tracks/5DYD4zlGiFlkpLaf2Bk8Vl,https://api.spotify.com/v1/audio-analysis/5DYD4zlGiFlkpLaf2Bk8Vl,234372,4,Glass Animals,Your Love (Déjà Vu),Your Love (Déjà Vu),64
197,0.353,0.865,2,-4.598,1,0.233,0.00991,0.147,0.314,0.46,164.042,audio_features,7sC9FifCXZHgjTAjFO1ykA,spotify:track:7sC9FifCXZHgjTAjFO1ykA,https://api.spotify.com/v1/tracks/7sC9FifCXZHgjTAjFO1ykA,https://api.spotify.com/v1/audio-analysis/7sC9FifCXZHgjTAjFO1ykA,316853,4,The Jon Spencer Blues Explosion,Bellbottoms,Dirty Shirt Rock 'N' Roll: The First Ten Years,51
198,0.457,0.757,1,-5.177,1,0.032,0.0206,0.0,0.146,0.417,102.961,audio_features,2ihCaVdNZmnHZWt0fvAM7B,spotify:track:2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/tracks/2ihCaVdNZmnHZWt0fvAM7B,https://api.spotify.com/v1/audio-analysis/2ihCaVdNZmnHZWt0fvAM7B,266600,4,Of Monsters and Men,Little Talks,My Head Is An Animal,78
199,0.81,0.566,5,-8.33,1,0.433,0.107,0.0,0.122,0.582,142.069,audio_features,4iiWcajF1fEUpwcUewc464,spotify:track:4iiWcajF1fEUpwcUewc464,https://api.spotify.com/v1/tracks/4iiWcajF1fEUpwcUewc464,https://api.spotify.com/v1/audio-analysis/4iiWcajF1fEUpwcUewc464,315346,4,Future,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix","Life Is Good (feat. Drake, DaBaby & Lil Baby) [Remix]",67
200,0.793,0.714,7,-7.562,1,0.193,0.156,0.0,0.136,0.794,100.036,audio_features,02Ygu8lo3qSknRpcBnspso,spotify:track:02Ygu8lo3qSknRpcBnspso,https://api.spotify.com/v1/tracks/02Ygu8lo3qSknRpcBnspso,https://api.spotify.com/v1/audio-analysis/02Ygu8lo3qSknRpcBnspso,168947,4,Virginia To Vegas,Just Friends,Just Friends,65
201,0.746,0.687,1,-7.475,1,0.382,0.155,0.0,0.137,0.283,143.931,audio_features,6HfOzLLjsaXsehIFEsrxTk,spotify:track:6HfOzLLjsaXsehIFEsrxTk,https://api.spotify.com/v1/tracks/6HfOzLLjsaXsehIFEsrxTk,https://api.spotify.com/v1/audio-analysis/6HfOzLLjsaXsehIFEsrxTk,188320,4,Young Money,Trophies,Rise Of An Empire (Deluxe Edition),72
202,0.692,0.79,9,-4.455,1,0.0375,0.132,0.0,0.304,0.872,101.995,audio_features,3oXo5b276GoNWN3DODNIU1,spotify:track:3oXo5b276GoNWN3DODNIU1,https://api.spotify.com/v1/tracks/3oXo5b276GoNWN3DODNIU1,https://api.spotify.com/v1/audio-analysis/3oXo5b276GoNWN3DODNIU1,185822,4,Bay Ledges,Safe,Safe,53
203,0.397,0.524,3,-5.846,1,0.103,0.607,0.0,0.157,0.343,175.562,audio_features,0gCNs3jCCDhObAK0MRghtv,spotify:track:0gCNs3jCCDhObAK0MRghtv,https://api.spotify.com/v1/tracks/0gCNs3jCCDhObAK0MRghtv,https://api.spotify.com/v1/audio-analysis/0gCNs3jCCDhObAK0MRghtv,218854,4,Drax Project,Catching Feelings (feat. SIX60),Drax Project,71
204,0.683,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621,audio_features,1YlulsUKDduOmC7WxvXYPW,spotify:track:1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/tracks/1YlulsUKDduOmC7WxvXYPW,https://api.spotify.com/v1/audio-analysis/1YlulsUKDduOmC7WxvXYPW,213507,4,Ruel,Painkiller,Free Time,75
205,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,audio_features,5a6pdCHlWS2ekOOQ70QnAr,spotify:track:5a6pdCHlWS2ekOOQ70QnAr,https://api.spotify.com/v1/tracks/5a6pdCHlWS2ekOOQ70QnAr,https://api.spotify.com/v1/audio-analysis/5a6pdCHlWS2ekOOQ70QnAr,156107,4,Noah Cyrus,July,July,31
206,0.616,0.657,7,-5.375,1,0.0649,0.117,0.0,0.11,0.927,79.919,audio_features,6t6bOh1jmVcRke7rmzAegb,spotify:track:6t6bOh1jmVcRke7rmzAegb,https://api.spotify.com/v1/tracks/6t6bOh1jmVcRke7rmzAegb,https://api.spotify.com/v1/audio-analysis/6t6bOh1jmVcRke7rmzAegb,205066,4,Bay Ledges,Straight Jacket,Fountain Tropical EP,54
207,0.822,0.575,5,-5.95,1,0.0934,0.113,0.0,0.106,0.616,100.087,audio_features,6lruHh1jF7ezgbLv72xYmf,spotify:track:6lruHh1jF7ezgbLv72xYmf,https://api.spotify.com/v1/tracks/6lruHh1jF7ezgbLv72xYmf,https://api.spotify.com/v1/audio-analysis/6lruHh1jF7ezgbLv72xYmf,223000,4,Arizona Zervas,FML,Living Facts,79
208,0.769,0.399,0,-7.795,1,0.0431,0.334,1.33e-05,0.175,0.473,139.977,audio_features,78LAdB9TstKFHTSvenM92O,spotify:track:78LAdB9TstKFHTSvenM92O,https://api.spotify.com/v1/tracks/78LAdB9TstKFHTSvenM92O,https://api.spotify.com/v1/audio-analysis/78LAdB9TstKFHTSvenM92O,195918,4,Danrell x Småland,Hostage,Hostage,0
209,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,audio_features,73SpzrcaHk0RQPFP73vqVR,spotify:track:73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/tracks/73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4,Billie Eilish,No Time To Die,No Time To Die,81
210,0.523,0.247,2,-12.824,1,0.0282,0.887,0.000873,0.0854,0.257,135.972,audio_features,2MnfacUarGcikm3GWc3j2e,spotify:track:2MnfacUarGcikm3GWc3j2e,https://api.spotify.com/v1/tracks/2MnfacUarGcikm3GWc3j2e,https://api.spotify.com/v1/audio-analysis/2MnfacUarGcikm3GWc3j2e,167720,3,Sondre Lerche,Dear Laughing Doubters,Dinner for Schmucks (Music from the Motion Picture),31
211,0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,audio_features,44CZRkOxv7UItaAUmh8PgN,spotify:track:44CZRkOxv7UItaAUmh8PgN,https://api.spotify.com/v1/tracks/44CZRkOxv7UItaAUmh8PgN,https://api.spotify.com/v1/audio-analysis/44CZRkOxv7UItaAUmh8PgN,323253,4,Cherub,Doses & Mimosas,Year of the Caprese,70
212,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,audio_features,6wJYhPfqk3KGhHRG76WzOh,spotify:track:6wJYhPfqk3KGhHRG76WzOh,https://api.spotify.com/v1/tracks/6wJYhPfqk3KGhHRG76WzOh,https://api.spotify.com/v1/audio-analysis/6wJYhPfqk3KGhHRG76WzOh,162547,4,Lil Mosey,Blueberry Faygo,Blueberry Faygo,85
213,0.554,0.783,6,-5.852,1,0.0457,0.416,1.54e-06,0.631,0.813,105.39,audio_features,4w3tQBXhn5345eUXDGBWZG,spotify:track:4w3tQBXhn5345eUXDGBWZG,https://api.spotify.com/v1/tracks/4w3tQBXhn5345eUXDGBWZG,https://api.spotify.com/v1/audio-analysis/4w3tQBXhn5345eUXDGBWZG,162467,4,Dolly Parton,9 to 5,9 To 5 And Odd Jobs,76
214,0.558,0.864,7,-4.668,1,0.0497,0.00565,0.0,0.171,0.323,148.084,audio_features,3f0TDX6TSfP5fsXy9J7zp5,spotify:track:3f0TDX6TSfP5fsXy9J7zp5,https://api.spotify.com/v1/tracks/3f0TDX6TSfP5fsXy9J7zp5,https://api.spotify.com/v1/audio-analysis/3f0TDX6TSfP5fsXy9J7zp5,219907,4,Borgeous,Alcohol,Alcohol,35
215,0.605,0.902,10,-5.406,0,0.0511,0.0185,1.01e-06,0.0534,0.875,132.612,audio_features,1YaVmBh7EAeR54FIjuFcb5,spotify:track:1YaVmBh7EAeR54FIjuFcb5,https://api.spotify.com/v1/tracks/1YaVmBh7EAeR54FIjuFcb5,https://api.spotify.com/v1/audio-analysis/1YaVmBh7EAeR54FIjuFcb5,202587,4,Selena Gomez & The Scene,Naturally,Kiss & Tell,64
216,0.523,0.677,9,-6.471,1,0.0734,0.019,0.0,0.134,0.61,84.233,audio_features,4HFo810T6HpGX9lXwMixWt,spotify:track:4HFo810T6HpGX9lXwMixWt,https://api.spotify.com/v1/tracks/4HFo810T6HpGX9lXwMixWt,https://api.spotify.com/v1/audio-analysis/4HFo810T6HpGX9lXwMixWt,194644,4,Two Friends,No Drama,No Drama,49
217,0.861,0.65,4,-4.935,0,0.0483,0.347,0.000771,0.0562,0.525,120.009,audio_features,4cVJtU3eCwRgoKT4MYnBG9,spotify:track:4cVJtU3eCwRgoKT4MYnBG9,https://api.spotify.com/v1/tracks/4cVJtU3eCwRgoKT4MYnBG9,https://api.spotify.com/v1/audio-analysis/4cVJtU3eCwRgoKT4MYnBG9,273500,4,Abhi The Nomad,Letter for God,Marbled,44
218,0.472,0.882,4,-3.576,1,0.192,0.245,0.0,0.365,0.555,164.02,audio_features,1RCIcI7P98YbnBbrcKIRoS,spotify:track:1RCIcI7P98YbnBbrcKIRoS,https://api.spotify.com/v1/tracks/1RCIcI7P98YbnBbrcKIRoS,https://api.spotify.com/v1/audio-analysis/1RCIcI7P98YbnBbrcKIRoS,181000,4,7715,Week - Justin Caruso Remix,Week (Justin Caruso Remix),37
219,0.643,0.438,11,-6.678,0,0.0254,0.459,8.14e-05,0.0643,0.609,96.949,audio_features,588huYraFuGGksWiCPpuGQ,spotify:track:588huYraFuGGksWiCPpuGQ,https://api.spotify.com/v1/tracks/588huYraFuGGksWiCPpuGQ,https://api.spotify.com/v1/audio-analysis/588huYraFuGGksWiCPpuGQ,167763,3,Wyn Starks,Circles,Circles,43
220,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,audio_features,1e9oZCCiX42nJl0AcqriVo,spotify:track:1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/tracks/1e9oZCCiX42nJl0AcqriVo,https://api.spotify.com/v1/audio-analysis/1e9oZCCiX42nJl0AcqriVo,174000,4,Harry Styles,Watermelon Sugar,Watermelon Sugar,83
221,0.619,0.833,7,-4.941,1,0.0366,0.0122,0.0,0.24,0.527,93.01,audio_features,0s5ibKUNbISHnrBrx1o2nF,spotify:track:0s5ibKUNbISHnrBrx1o2nF,https://api.spotify.com/v1/tracks/0s5ibKUNbISHnrBrx1o2nF,https://api.spotify.com/v1/audio-analysis/0s5ibKUNbISHnrBrx1o2nF,196953,4,Lost Kings,Too Far Gone,Too Far Gone,53
222,0.669,0.374,1,-7.349,1,0.0385,0.777,0.0,0.326,0.394,127.938,audio_features,3SxSrUogj4LpAkLKXeTtTQ,spotify:track:3SxSrUogj4LpAkLKXeTtTQ,https://api.spotify.com/v1/tracks/3SxSrUogj4LpAkLKXeTtTQ,https://api.spotify.com/v1/audio-analysis/3SxSrUogj4LpAkLKXeTtTQ,197333,4,Rex Orange County,Always,Pony,64
